1,Hematology_Oncology,"Dignissimos laborum reprehenderit eius repudiandae officiis est. Quae qui omnis nihil. Omnis at quasi. Autem rerum temporibus. Impedit quisquam quo atque. Officiis nostrum ex temporibus voluptatibus saepe nihil. Soluta et molestiae qui odit velit. Quia voluptatibus est impedit consequuntur non consequatur. Dignissimos neque quia eius reprehenderit necessitatibus odio. Sit aut aspernatur saepe ratione. Molestias amet facere atque.",157,2017-11-04 13:39:39,2020-04-13 15:51:58
2,Endocrinology,"Sed iusto ratione. Voluptas est possimus exercitationem alias quis. Quas perferendis quas aut porro totam dicta. Quam nihil perspiciatis enim eligendi qui iusto. Odit rerum sed ipsa praesentium omnis. Ea ut est et aperiam quae quas. Aliquid natus exercitationem eum. Voluptas officiis error dignissimos nulla at. Et voluptas architecto dolorum. Quis et reprehenderit blanditiis quibusdam qui. Est labore quaerat. Quisquam officiis qui dolorem aliquid accusantium quia.",156,2015-08-05 10:21:15,2020-04-13 15:51:58
3,Hematology_Oncology,"Est voluptas autem enim sequi perferendis velit aut. Laborum officiis numquam ipsam doloribus ducimus. Est quia porro vero omnis sapiente sunt vel. Ipsa eaque ipsa consectetur officiis neque beatae. Ut consectetur voluptatibus officia voluptas dolor architecto quae. Animi iure perferendis et excepturi cupiditate et ipsum. Cumque veritatis doloribus eligendi est nemo quae. Perferendis non est et quia. Soluta dolorum tenetur cum. Et est enim quo enim. Aspernatur est sed sequi. Et nihil perspiciatis.",124,2018-01-22 16:14:00,2020-04-13 15:51:58
4,PhysicalMedicine,"Ipsum quia ut nulla dignissimos sunt voluptatem. Nostrum molestias culpa consequatur sunt quia dolores. Officia velit quia est a voluptas enim. Ut et autem ut. Facilis nihil architecto iure. Architecto nihil cum sit voluptas repellat hic sed. Maiores pariatur ratione nihil dolore voluptate quis qui. Tempore velit ut in voluptatem. Rerum at modi culpa et dolor nostrum. Placeat repellendus omnis quaerat reprehenderit inventore necessitatibus. Numquam accusantium et non ipsam numquam. Nihil dolore necessitatibus et ducimus.",108,2018-03-10 16:09:07,2020-04-13 15:51:58
5,Nephrology,"Porro consequuntur quam voluptatem perspiciatis. Quae sint praesentium ut praesentium nesciunt minus repellendus. Aliquid ducimus et aut unde ullam non natus. Quae dolorem aliquid qui voluptatem voluptas animi qui. At perspiciatis aut veritatis et autem. Sit possimus minus qui harum. Maxime tempore voluptatum aut ad. Repellendus nostrum similique at facilis et et explicabo. Iusto at earum praesentium itaque aut. Consequatur quisquam nam.",49,2017-04-12 19:37:45,2020-04-13 15:51:58
6,GynecologicOncology,"Dignissimos odit porro. Quasi tempora commodi deserunt magni voluptas. Dolorum rerum nihil enim. Sunt perspiciatis asperiores alias quisquam non. Voluptas voluptatem quas cum eius. Id id consequatur. Et perferendis dolorum aut dolorum. Voluptatibus ullam maxime sequi impedit. Harum accusamus debitis est. Est suscipit quia quod debitis dolore.",58,2017-10-29 17:39:58,2020-04-13 15:51:58
7,ObstetricsAndGynecology,"Pariatur debitis alias dolorem dolore dolorum vitae. Maxime dolorem qui. Quasi amet illum. Animi quia sunt quia quam et ipsam ipsa. Aliquid dicta expedita. Dignissimos rem ducimus cumque assumenda fugiat. Eos fugit minus. Assumenda voluptate temporibus sint dolorum. Labore aperiam iusto in provident. Sunt quis itaque quas.",31,2015-12-06 22:06:19,2020-04-13 15:51:58
8,Anesthesia,"Eius beatae quo. Sequi aliquam asperiores at quo alias. Facilis id consequatur et atque consectetur itaque. Qui vitae debitis qui rem. Sunt delectus enim ea. Laudantium animi voluptatibus. Blanditiis aut quis non. Sit itaque laborum saepe labore quas. Quia doloribus et. Architecto sed architecto et eos. Non non voluptate. Pariatur aperiam aut nostrum.",111,2020-02-08 07:48:46,2020-04-13 15:51:58
9,NuclearMedicine,"Qui optio quibusdam sed sapiente facere impedit. Est consequatur veritatis consequatur placeat dolor sed. Eos perspiciatis qui et dolore ut neque. Dolorem reprehenderit eum commodi fuga. Odit laudantium suscipit voluptas cumque dolorum doloremque velit. Officiis autem qui. Consequatur expedita pariatur. Nulla sint ut laborum asperiores assumenda autem. Pariatur quod debitis sint voluptatem libero aut sit. Praesentium ipsa qui minus debitis quia.",8,2018-01-10 02:31:25,2020-04-13 15:51:58
10,Pathology_SurgicalAndAnatomic,"Ex natus sunt perferendis aut voluptatem dolore officiis. Eaque dolorum voluptas. Voluptatem molestiae sed. Dolor maxime dolorem ipsa. Est et necessitatibus nostrum omnis porro eos sit. Sed quos ullam. Facilis itaque id. Laudantium maiores et quia facere et totam. Tempora hic sit voluptatibus quia velit. Dicta vitae incidunt est deleniti eos earum. Rem blanditiis occaecati eos mollitia. A nostrum eos repellat.",12,2017-12-28 10:27:41,2020-04-13 15:51:58
